stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening D:\Documents\Mini2\game\allegro5.cfg r
dtor     D               dtor.c:227  _al_unregister_destructor        [  15.45766] removed dtor for bitmap 00D01710
dtor     D               dtor.c:227  _al_unregister_destructor        [  15.45830] removed dtor for bitmap 00D015C0
dtor     D               dtor.c:227  _al_unregister_destructor        [  15.45890] removed dtor for bitmap 00D00A90
dtor     D               dtor.c:227  _al_unregister_destructor        [  15.46027] removed dtor for bitmap 00D04A18
dtor     D               dtor.c:227  _al_unregister_destructor        [  15.46100] removed dtor for bitmap 00D013A0
dtor     D               dtor.c:227  _al_unregister_destructor        [  15.46162] removed dtor for ttf_font 00CFE020
dtor     D               dtor.c:227  _al_unregister_destructor        [  15.46438] removed dtor for sample 00DCED68
stdio    D         file_stdio.c:109  file_stdio_fopen                 [  15.47077] opening resources/fonts/pirulen.ttf rb
font     D                ttf.c:937  al_load_ttf_font_stretch_f       [  15.48408] Font resources/fonts/pirulen.ttf loaded with pixel size 0 x 72.
font     D                ttf.c:939  al_load_ttf_font_stretch_f       [  15.48410]     ascent=69.0, descent=-17.0, height=86.0
dtor     D               dtor.c:196  _al_register_destructor          [  15.48412] added dtor for ttf_font 0D6F74D8, func 61DB9898
stdio    D         file_stdio.c:109  file_stdio_fopen                 [  15.48622] opening resources/images/stage-select/dirt.png rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48640] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48642] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48643] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48644] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48644] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48645] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48646] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48647] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48648] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [  15.48649] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [  15.48650] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [  15.48651] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [  15.48652] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [  15.48663] added dtor for bitmap 00D25970, func 61CC1C7B
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48718] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48719] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48720] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48721] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48722] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48723] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48724] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48725] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48726] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [  15.48727] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [  15.48729] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [  15.48730] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [  15.48731] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [  15.48738] added dtor for bitmap 00D00A70, func 61CC1C7B
dtor     D               dtor.c:227  _al_unregister_destructor        [  15.48741] removed dtor for bitmap 00D25970
stdio    D         file_stdio.c:109  file_stdio_fopen                 [  15.48831] opening resources/images/stage-select/dirt.png rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48848] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48849] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48850] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48851] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48852] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48853] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48854] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48855] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.48856] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [  15.48856] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [  15.48857] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [  15.48858] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [  15.48859] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [  15.48868] added dtor for bitmap 00D04048, func 61CC1C7B
stdio    D         file_stdio.c:109  file_stdio_fopen                 [  15.48983] opening resources/images/stage-select/floor.png rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.49002] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.49003] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.49004] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.49005] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.49005] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.49006] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.49007] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.49008] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  15.49009] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [  15.49010] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [  15.49011] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [  15.49012] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [  15.49013] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [  15.49020] added dtor for bitmap 00D841E0, func 61CC1C7B
stdio    D         file_stdio.c:109  file_stdio_fopen                 [  15.49135] opening resources/fonts/pirulen.ttf rb
font     D                ttf.c:937  al_load_ttf_font_stretch_f       [  15.49167] Font resources/fonts/pirulen.ttf loaded with pixel size 0 x 48.
font     D                ttf.c:939  al_load_ttf_font_stretch_f       [  15.49168]     ascent=46.0, descent=-12.0, height=58.0
dtor     D               dtor.c:196  _al_register_destructor          [  15.49169] added dtor for ttf_font 00CFDFE0, func 61DB9898
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  15.49308] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  15.49309] _al_d3d_sync_bitmap (video) ref count == 1
acodec   I                ogg.c:204  _al_load_ogg_vorbis              [  15.49356] Loading sample resources/audios/select.ogg.
stdio    D         file_stdio.c:109  file_stdio_fopen                 [  15.49357] opening resources/audios/select.ogg rb
acodec   D                ogg.c:263  _al_load_ogg_vorbis_f            [  15.49446] channels 2
acodec   D                ogg.c:264  _al_load_ogg_vorbis_f            [  15.49447] word_size 2
acodec   D                ogg.c:265  _al_load_ogg_vorbis_f            [  15.49448] rate 44100
acodec   D                ogg.c:266  _al_load_ogg_vorbis_f            [  15.49449] total_samples 8599552
acodec   D                ogg.c:267  _al_load_ogg_vorbis_f            [  15.49451] total_size 34398208
dtor     D               dtor.c:196  _al_register_destructor          [  16.08283] added dtor for sample 00D89A48, func 61DC2689
dtor     D               dtor.c:196  _al_register_destructor          [  16.08415] added dtor for sample_instance 00D85940, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [  16.08417] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [  16.08418]  0.707107 0.000000
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [  16.08419]  0.000000 0.707107
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.10638] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.10639] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.10640] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.10641] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.10642] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.10643] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.10644] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.10645] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.10646] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [  16.10647] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [  16.10647] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [  16.10648] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [  16.10649] Chose bitmap format 9
font     D                ttf.c:238  alloc_glyph_region               [  16.10667] Glyph 46: 54x53 (56x56)
font     D                ttf.c:282  alloc_glyph_region               [  16.10669] Locking glyph region: 00D7D308 0 0 56 56
font     D                ttf.c:166  unlock_current_page              [  16.11401] Unlocking page: 00D7D308
font     D                ttf.c:238  alloc_glyph_region               [  16.11419] Glyph 71: 55x53 (56x56)
font     D                ttf.c:282  alloc_glyph_region               [  16.11421] Locking glyph region: 00D7D308 56 0 56 56
font     D                ttf.c:166  unlock_current_page              [  16.11428] Unlocking page: 00D7D308
font     D                ttf.c:238  alloc_glyph_region               [  16.11443] Glyph 88: 77x53 (80x56)
font     D                ttf.c:282  alloc_glyph_region               [  16.11444] Locking glyph region: 00D7D308 112 0 80 56
font     D                ttf.c:166  unlock_current_page              [  16.11452] Unlocking page: 00D7D308
font     D                ttf.c:238  alloc_glyph_region               [  16.11462] Glyph 78: 54x53 (56x56)
font     D                ttf.c:282  alloc_glyph_region               [  16.11463] Locking glyph region: 00D7D308 192 0 56 56
font     D                ttf.c:166  unlock_current_page              [  16.11469] Unlocking page: 00D7D308
font     D                ttf.c:238  alloc_glyph_region               [  16.11485] Glyph 85: 65x53 (68x56)
font     D                ttf.c:282  alloc_glyph_region               [  16.11486] Locking glyph region: 00D7D308 248 0 68 56
font     D                ttf.c:166  unlock_current_page              [  16.11492] Unlocking page: 00D7D308
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.11523] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.11524] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.11525] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.11526] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.11527] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.11528] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.11529] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.11530] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [  16.11531] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [  16.11532] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [  16.11533] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [  16.11534] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [  16.11535] Chose bitmap format 9
font     D                ttf.c:238  alloc_glyph_region               [  16.11567] Glyph 19: 18x36 (20x36)
font     D                ttf.c:282  alloc_glyph_region               [  16.11568] Locking glyph region: 00DA1DC8 0 0 20 36
font     D                ttf.c:166  unlock_current_page              [  16.12244] Unlocking page: 00DA1DC8
font     D                ttf.c:238  alloc_glyph_region               [  16.12261] Glyph 20: 38x36 (40x36)
font     D                ttf.c:282  alloc_glyph_region               [  16.12263] Locking glyph region: 00DA1DC8 20 0 40 36
font     D                ttf.c:166  unlock_current_page              [  16.12287] Unlocking page: 00DA1DC8
font     D                ttf.c:238  alloc_glyph_region               [  16.12299] Glyph 21: 36x36 (36x36)
font     D                ttf.c:282  alloc_glyph_region               [  16.12300] Locking glyph region: 00DA1DC8 60 0 36 36
font     D                ttf.c:166  unlock_current_page              [  16.12304] Unlocking page: 00DA1DC8
font     D                ttf.c:238  alloc_glyph_region               [  16.12315] Glyph 22: 44x36 (44x36)
font     D                ttf.c:282  alloc_glyph_region               [  16.12316] Locking glyph region: 00DA1DC8 96 0 44 36
font     D                ttf.c:166  unlock_current_page              [  16.12320] Unlocking page: 00DA1DC8
font     D                ttf.c:238  alloc_glyph_region               [  16.12330] Glyph 23: 38x36 (40x36)
font     D                ttf.c:282  alloc_glyph_region               [  16.12331] Locking glyph region: 00DA1DC8 140 0 40 36
font     D                ttf.c:166  unlock_current_page              [  16.12335] Unlocking page: 00DA1DC8
font     D                ttf.c:238  alloc_glyph_region               [  16.12347] Glyph 24: 42x36 (44x36)
font     D                ttf.c:282  alloc_glyph_region               [  16.12348] Locking glyph region: 00DA1DC8 180 0 44 36
font     D                ttf.c:166  unlock_current_page              [  16.12352] Unlocking page: 00DA1DC8
font     D                ttf.c:238  alloc_glyph_region               [  16.12360] Glyph 25: 41x36 (44x36)
font     D                ttf.c:282  alloc_glyph_region               [  16.12361] Locking glyph region: 00DA1DC8 224 0 44 36
font     D                ttf.c:166  unlock_current_page              [  16.12365] Unlocking page: 00DA1DC8
font     D                ttf.c:238  alloc_glyph_region               [  16.12378] Glyph 26: 42x36 (44x36)
font     D                ttf.c:282  alloc_glyph_region               [  16.12379] Locking glyph region: 00DA1DC8 268 0 44 36
font     D                ttf.c:166  unlock_current_page              [  16.12383] Unlocking page: 00DA1DC8
font     D                ttf.c:238  alloc_glyph_region               [  16.12395] Glyph 27: 42x36 (44x36)
font     D                ttf.c:282  alloc_glyph_region               [  16.12396] Locking glyph region: 00DA1DC8 312 0 44 36
font     D                ttf.c:166  unlock_current_page              [  16.12400] Unlocking page: 00DA1DC8
font     D                ttf.c:238  alloc_glyph_region               [  16.12411] Glyph 18: 40x36 (40x36)
font     D                ttf.c:282  alloc_glyph_region               [  16.12412] Locking glyph region: 00DA1DC8 356 0 40 36
font     D                ttf.c:166  unlock_current_page              [  16.12416] Unlocking page: 00DA1DC8
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.12547] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.12549] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.12765] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.12766] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.12775] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.12777] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.12804] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.12805] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.13351] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.13355] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.13880] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.13883] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.13904] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.13909] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.13923] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.13925] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.18686] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.18691] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.19574] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.19577] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.20296] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.20299] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.21097] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.21102] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.21995] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.21998] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.22793] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.22797] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.23504] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.23507] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.24317] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.24320] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.25169] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.25173] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.25829] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.25833] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.26738] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.26741] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.27546] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.27549] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.28295] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.28298] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.29170] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.29173] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.29989] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.29992] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.30782] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.30786] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.31588] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.31590] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.64283] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.64286] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.65075] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.65078] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.65935] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.65938] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.66761] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.66764] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.67478] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.67481] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.68368] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.68371] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.69167] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.69169] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.69875] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.69878] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.70687] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.70691] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  16.71480] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  16.71483] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.53023] removed dtor for bitmap 00D00A70
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.53089] removed dtor for bitmap 00D046E0
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.53190] removed dtor for sample 00D89A48
dtor     D               dtor.c:116  _al_run_destructors              [  27.53839] calling dtor for ttf_font 00CFDFE0, func 61DB9898
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.53842] removed dtor for ttf_font 00CFDFE0
dtor     D               dtor.c:116  _al_run_destructors              [  27.53999] calling dtor for bitmap 00D841E0, func 61CC1C7B
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54001] removed dtor for bitmap 00D841E0
dtor     D               dtor.c:116  _al_run_destructors              [  27.54002] calling dtor for bitmap 00D04048, func 61CC1C7B
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54003] removed dtor for bitmap 00D04048
dtor     D               dtor.c:116  _al_run_destructors              [  27.54005] calling dtor for ttf_font 0D6F74D8, func 61DB9898
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54006] removed dtor for ttf_font 0D6F74D8
dtor     D               dtor.c:116  _al_run_destructors              [  27.54158] calling dtor for queue 00D04D28, func 61CE5C4F
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54160] removed dtor for queue 00D04D28
dtor     D               dtor.c:116  _al_run_destructors              [  27.54162] calling dtor for timer 00CF70E0, func 61CF628F
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54163] removed dtor for timer 00CF70E0
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54164] removed dtor for sample_instance 00CDBE38
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54165] removed dtor for sample_instance 00CDC168
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54167] removed dtor for sample_instance 00CE0278
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54167] removed dtor for sample_instance 00CE8370
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54168] removed dtor for sample_instance 00CE84B0
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54169] removed dtor for sample_instance 00CE85C8
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54170] removed dtor for sample_instance 00CE86B8
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54171] removed dtor for sample_instance 00CE87A8
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54173] removed dtor for sample_instance 00CE8928
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54174] removed dtor for sample_instance 00CE8A18
dtor     D               dtor.c:227  _al_unregister_destructor        [  27.54175] removed dtor for mixer 00CDBA60
audio-dsound D           dsound.cpp:509  _dsound_stop_voice               [  27.54176] Stopping voice
audio-dsound D           dsound.cpp:526  _dsound_stop_voice               [  27.54177] Joining thread
